66.9017	67.2008	67.3378	67.8287
67.2427	67.1898	67.1676	67.9826
66.5622	68.0114	67.0362	67.4340
67.1258	67.3466	67.6628	67.6935
67.1460	67.0806	67.8294	67.4132
67.1229	67.5055	67.5949	67.9557
67.3835	67.6219	67.2838	67.8477
66.7654	67.7120	67.1116	67.7590
67.2969	67.2958	67.6363	68.1032
67.2154	67.1961	67.6643	67.9786
67.1466	67.3706	67.7641	68.0381
67.5941	67.5981	67.6391	67.9266
67.0807	67.4454	67.2667	67.7373
67.4129	67.2463	67.6655	68.1164
67.4363	67.2285	67.6206	67.8504
67.1364	67.2742	67.7911	68.0863
67.5403	67.6418	67.4621	67.9203
67.1533	67.4541	67.3372	67.8168
67.3686	67.2442	67.7074	68.0345
67.5520	67.2116	67.6061	67.8601
67.2755	67.3306	67.9295	68.1877
67.5499	67.4877	67.4610	67.8985
67.0727	67.5377	67.4536	67.6988
67.3381	67.2017	67.7882	68.0452
67.5496	67.2494	67.5600	67.6570
