Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2356.13070100211,2365.89674077506,2362.43035568726,2344.93857231031,9429.39636977475,2357.34909244369
UA_Rovib,937.848898924472,929.083289211507,956.008512749553,965.837328534843,3788.77802942037,947.194507355094
UA_Conf,1420.66856648307,1423.39060957412,1443.97414797707,1505.37623728928,5793.40956132354,1448.35239033089
Res_Transvib,2868.67127463859,2955.83457436011,2921.4323418088,2865.27600149716,11611.2141923047,2902.80354807616
Res_Rovib,2399.04442299858,2193.65659618539,2197.7855171046,2189.31261077173,8979.79914706029,2244.94978676507
Res_Conf,54.2415253047197,47.0368727201396,50.4575105119514,50.7094000487507,202.445308585561,50.6113271463903
P_Transvib,50.0901431719063,50.776561343726,50.5153548010807,50.4585532954669,201.84061261218,50.460153153045
P_Rovib,46.3072255091548,46.1909882557975,46.8677290364874,46.6975351812798,186.06347798272,46.5158694956799
Total,10133.0027580326,10011.8662324258,10029.4714696768,10018.6062389288,40192.9466990641,10048.236674766
