Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2360.42089461815,2353.08833331736,2374.65216732227,2364.35206551352,9452.5134607713,2363.12836519282
UA_Rovib,1223.80699689439,1153.14591801258,1150.95207240683,1194.72132350389,4722.62631081769,1180.65657770442
UA_Conf,1407.22816430411,1484.05557558783,1452.64493581934,1384.78707328024,5728.71574899153,1432.17893724788
Res_Transvib,2850.25809094577,2849.08751550427,2861.4928389433,2862.82691306185,11423.6653584552,2855.9163396138
Res_Rovib,2521.03544676155,2197.51433562104,2207.62782717717,2188.81249647452,9114.99010603428,2278.74752650857
Res_Conf,53.2460320888641,51.5347758275497,43.4289525877476,41.300133227982,189.509893732143,47.3774734330359
P_Transvib,49.4302382775346,50.8409689469085,49.8543510136814,50.2633422858196,200.388900523944,50.097225130986
P_Rovib,45.9179145805675,46.5078861899989,46.5440520031651,47.1357030428355,186.105555816567,46.5263889541418
Total,10511.3437784709,10185.7753090075,10187.1971972735,10134.1990503907,41018.5153351426,10254.6288337857
