Term,A,B,C,D,Total
UA_Transvib,2335.465238,2321.574282,2337.38046,2349.091753,9343.511733
UA_Rovib,833.3977329,774.1294997,769.9201236,843.2374672,3220.684823
UA_Conf,1519.751369,1579.725138,1528.179259,1461.276292,6088.932058
Res_Transvib,2897.243301,2832.03962,2781.825737,2814.684266,11325.79292
Res_Rovib,2299.5234,2147.09544,2043.146466,2081.976258,8571.741565
Res_Conf,46.88186014,55.75733449,50.99316093,30.76037062,184.3927262
P_Transvib,50.08159177,50.03969335,50.00041046,50.80917869,200.9308743
P_Rovib,46.9154441,46.36420725,32.06322428,33.42631003,158.7691856
Total,10029.25994,9806.725214,9593.508842,9665.261896,39094.75589
