Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2244.27141740459,2228.34597397974,2263.75120402108,2275.76765922359,9012.136254629,2253.03406365725
UA_Rovib,2956.40645468553,2854.29852682966,2943.90710663719,3023.69786913715,11778.3099572895,2944.57748932238
UA_Conf,1467.15179700042,1598.53913068783,1528.82102374032,1505.8679019903,6100.37985341886,1525.09496335472
Res_Transvib,2507.94006699036,2539.93629838462,2561.41796059986,2573.72996514042,10183.0242911153,2545.75607277881
Res_Rovib,2735.705181459,3666.04341263121,3624.71882302615,3740.7634843358,13767.2309014522,3441.80772536304
Res_Conf,67.2570333355832,66.3303103759699,56.6082470134598,56.0130630555506,246.208653780563,61.5521634451409
P_Transvib,67.4420423192873,67.2318578392909,67.6206750891854,67.8514360493043,270.146011297068,67.536502824267
P_Rovib,48.9075668661707,53.5100438083524,51.4770809158026,59.0425740922794,212.937265682605,53.2343164206513
Total,12095.0815600609,13074.2355545367,13098.322121043,13302.7339530244,51570.373188665,12892.5932971663
