Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2211.20073936861,2204.3164783881,2218.34068690881,,6633.85790466551,2211.28596822184
UA_Rovib,2552.61430836651,2558.0300438346,2597.10157057285,,7707.74592277397,2569.24864092466
UA_Conf,1538.93730911187,1597.72296530832,1559.35560062982,,4696.01587505002,1565.33862501667
Res_Transvib,2460.84101662526,2461.71601023835,2475.24656834697,,7397.80359521058,2465.93453173686
Res_Rovib,1496.86514129173,2792.44484820458,2369.64283667621,,6658.95282617252,2219.65094205751
Res_Conf,72.0319300740133,72.4123394008475,65.5330494939293,,209.97731896879,69.9924396562634
P_Transvib,67.5547039832541,67.2503480146841,,,134.805051997938,67.4025259989691
P_Rovib,42.5414708674549,45.3087194657979,,,87.8501903332528,43.9250951666264
Total,10442.5866196887,11799.2017528553,11285.2203126286,0,33527.0086851726,11212.7787687794
