2840.3122	2840.2397	2864.2243	2860.1530
2884.5778	2835.5773	2837.1940	2811.4605
2855.6841	2861.4830	2971.7360	2926.3235
2874.0106	2881.5072	2861.2064	2905.2055
2842.5516	2841.5886	2901.8826	2847.9739
2617.7851	2618.0556	2693.1452	2641.0439
2673.6834	2616.8881	2594.5772	2591.9018
2677.2431	2684.1968	2786.7383	2742.8888
2675.4261	2659.7366	2667.7277	2691.6356
2644.9141	2705.8929	2687.6371	2680.5193
2505.7602	2504.9474	2617.4154	2543.3649
2515.6303	2487.9130	2494.7860	2506.6906
2597.6080	2607.3743	2655.7826	2607.6258
2553.5789	2579.5679	2533.7127	2564.2423
2505.6478	2551.7988	2541.8675	2574.1276
2500.8760	2501.1380	2578.6805	2519.5759
2473.7648	2460.9524	2455.4194	2477.1397
2530.6011	2550.8675	2611.5741	2570.6102
2479.6650	2501.0272	2507.8734	2533.9118
2475.7099	2484.5284	2507.8386	2534.7155
2479.6159	2475.9790	2547.0235	2510.9702
2461.0723	2457.8761	2454.2496	2472.0675
2477.5922	2496.8387	2548.4307	2516.0533
2448.6396	2460.3701	2469.7012	2487.6513
2460.7708	2464.3612	2469.5084	2490.5408
