Term,A,B,C,D,Total
UA_Transvib,2361.49046181355,2360.53059849043,2379.68146108825,2380.74080221106,9482.4433236033
UA_Rovib,1068.87113188364,1022.19253573587,1130.57225038261,1124.21889348797,4345.85481149009
UA_Conf,1484.19673548115,1442.70625103062,1417.7383136334,1315.06702133867,5659.70832148384
Res_Transvib,2872.42067663764,2852.48115337803,2935.77248126921,2853.31590990953,11513.9902211944
Res_Rovib,2339.23614888652,2180.4067046038,2200.03404116846,2182.30256627715,8901.97946093593
Res_Conf,51.6239696043914,54.0745129135652,39.5588609192318,40.1304749799132,185.387818417102
P_Transvib,49.7312521787027,50.0219168292952,50.1563731916566,50.6494163857296,200.558958585384
P_Rovib,38.7915236599136,38.4175730342489,45.6148126733796,32.390991155771,155.214900523313
Total,10266.3619001455,10000.8312460159,10199.1285943262,9978.8160757458,40445.1378162334
