Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2360.42089461815,2353.08833331736,2374.65216732227,2364.35206551352,9452.5134607713,2363.12836519282
UA_Rovib,4579.96555296691,4482.92173415385,4538.17043126969,4576.57265331029,18177.6303717007,4544.40759292518
UA_Conf,1407.22816430411,1484.05557558783,1452.64493581934,1384.78707328024,5728.71574899153,1432.17893724788
Res_Transvib,2850.25809094576,2849.08751550427,2861.4928389433,2862.82691306185,11423.6653584552,2855.91633961379
Res_Rovib,4418.614125486,4090.61751017266,4101.50148812238,4079.5143758062,16690.2474995872,4172.56187489681
Res_Conf,53.2460320888641,51.5347758275497,43.4289525877476,41.300133227982,189.509893732143,47.3774734330359
P_Transvib,66.6090179837904,68.0318010710255,67.0371744931263,67.4495874760603,269.127581024003,67.2818952560006
P_Rovib,63.0598059645487,63.6564642136775,63.6850950911539,64.2844211030288,254.685786372409,63.6714465931022
Total,15799.4016843581,15442.9937098482,15502.613083649,15441.0872227792,62186.0957006345,15546.5239251586
