Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2309.95739408444,2285.93915553596,2312.27855248613,2309.32104992205,9217.49615202858,2304.37403800715
UA_Rovib,3460.24244993637,3466.80009211207,3476.49418228532,3572.82258623558,13976.3593105693,3494.08982764234
UA_Conf,1459.08649115501,1511.18826275199,1512.53861811505,1453.93311363676,5936.7464856588,1484.1866214147
Res_Transvib,2658.95993102252,2687.97201835042,2703.24078765041,2674.02659158232,10724.1993286057,2681.04983215142
Res_Rovib,3786.62084829499,3843.66947018958,3820.01702232685,3857.81458326635,15308.1219240778,3827.03048101944
Res_Conf,62.1896508230063,60.9317731881763,49.6861090813696,50.2254322441823,223.032965336734,55.7582413341836
P_Transvib,67.212964789911,67.2077338740394,67.6681170877641,67.9794077544431,270.068223506158,67.5170558765394
P_Rovib,54.4080254834774,63.2851997445063,62.1600525530002,62.7381689749583,242.591446755942,60.6478616889856
Total,13858.6777555897,13986.9937057467,14004.0834415859,14048.8609336166,55898.615836539,13974.6539591348
