Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2319.13771992289,2294.81563910053,2336.0360657035,2327.65211527519,9277.64154000211,2319.41038500053
UA_Rovib,888.614941087637,841.731844156475,901.134079382276,926.87332254421,3558.3541871706,889.58854679265
UA_Conf,1488.75559506824,1576.16595981665,1423.78476796455,1494.08507754136,5982.7914003908,1495.6978500977
Res_Transvib,2704.35876264349,2648.02808213523,2716.99733425513,2677.56586292226,10746.9500419561,2686.73751048903
Res_Rovib,2180.10910945685,1919.85431878826,1977.85723376141,2005.3366175114,8083.15727951791,2020.78931987948
Res_Conf,59.9652925133581,60.6807397224328,51.7944243545813,50.9021935796829,223.342650170055,55.8356625425138
P_Transvib,50.121774557003,50.1157220386313,50.458749638815,50.9202099736911,201.61645620814,50.4041140520351
P_Rovib,46.5530770854547,41.5888777949594,46.2792992199758,46.8328472938026,181.254101394193,45.3135253485481
Total,9737.61627233493,9432.98118355316,9504.34195428024,9580.16824664159,38255.1076568099,9563.77691420248
