Term,A,B,C,D,Total,Average Per Chain
UA_Transvib,2373.56137053039,2371.05418205478,2379.09328708219,2376.25771007096,9499.96654973832,2374.99163743458
UA_Rovib,1103.77537722082,1101.505483389,1143.36911182636,1089.97518319538,4438.62515563157,1109.65628890789
UA_Conf,1460.82140175315,1538.6838681179,1441.07513981337,1414.44195110321,5855.02236078763,1463.75559019691
Res_Transvib,2886.72493035015,2905.35174428496,2962.05200291691,2868.45806338569,11622.5867409377,2905.64668523443
Res_Rovib,2465.86936200552,2191.32502186183,2199.82393623428,2203.06318201464,9060.08150211627,2265.02037552907
Res_Conf,50.3189452100446,47.9013222644347,48.9920997672456,41.0061664918771,188.218533733602,47.0546334334005
P_Transvib,50.4504920428142,49.9147362439461,50.4332346314442,50.2722364069654,201.07069932517,50.2676748312924
P_Rovib,46.2495405519668,46.3673464875021,45.3748718767613,46.6981147004251,184.689873616655,46.1724684041638
Total,10437.7714196649,10252.1037047044,10270.2136841486,10090.1726073692,41050.261415887,10262.5653539717
